user_id,movie_id,rating
1001,862,4.0
1001,15602,4.0
1001,949,4.0
1001,807,5.0
1001,629,5.0
1001,755,3.0
1001,13685,5.0
1001,197,4.0
1001,11780,5.0
1001,1775,5.0
1001,8068,5.0
1001,11017,5.0
1001,2292,3.0
1001,8467,5.0
1001,522,4.0
1001,11,5.0
1001,680,3.0
1001,2164,3.0
1001,11381,5.0
1001,9331,4.0
1001,13,4.0
1001,10714,5.0
1001,854,4.0
1001,178,3.0
1001,9571,4.0
1001,5503,5.0
1001,329,4.0
1001,788,3.0
1001,424,5.0
1001,10442,4.0
1001,10057,4.0
1001,11969,5.0
1001,581,4.0
1001,268,4.0
1001,274,4.0
1001,10895,5.0
1001,275,5.0
1001,954,3.0
1001,10539,5.0
1001,2300,3.0
1001,9802,4.0
1001,664,3.0
1001,602,3.0
1001,11363,4.0
1001,630,5.0
1001,15,5.0
1001,10907,5.0
1001,22292,4.0
1001,3083,5.0
1001,14821,3.0
1001,81310,5.0
1001,15947,5.0
1001,9078,5.0
1001,11360,5.0
1001,11114,3.0
1001,12335,5.0
1001,12092,5.0
1001,9591,4.0
1001,10586,5.0
1001,10218,4.0
1001,252,5.0
1001,583,5.0
1001,500,5.0
1001,792,4.0
1001,402,5.0
1001,601,5.0
1001,2756,4.0
1001,762,5.0
1001,1891,5.0
1001,2493,5.0
1001,85,5.0
1001,185,5.0
1001,28,4.0
1001,1892,5.0
1001,769,5.0
1001,348,4.0
1001,539,2.0
1001,525,5.0
1001,600,5.0
1001,10705,5.0
1001,3109,5.0
1001,218,5.0
1001,3063,5.0
1001,694,3.0
1001,137,4.0
1001,105,5.0
1001,8009,5.0
1001,3034,5.0
1001,756,5.0
1001,89,5.0
1001,12104,5.0
1001,653,4.0
1001,364,3.0
1001,2322,3.0
1001,9361,3.0
1001,14908,3.0
1001,19952,4.0
1001,9434,4.0
1001,816,5.0
1001,1701,4.0
1001,754,5.0
1001,607,3.0
1001,9387,5.0
1001,2118,5.0
1001,9437,4.0
1001,2649,5.0
1001,3597,3.0
1001,563,3.0
1001,115,5.0
1001,11003,4.0
1001,6970,4.0
1001,42807,5.0
1001,617,4.0
1001,11551,4.0
1001,143,5.0
1001,1366,5.0
1001,13597,4.0
1001,941,4.0
1001,9340,5.0
1001,196,4.0
1001,3170,5.0
1001,857,4.0
1001,10957,5.0
1001,10122,4.0
1001,9994,5.0
1001,9354,4.0
1001,9631,5.0
1001,9325,5.0
1001,11319,5.0
1001,13155,3.0
1001,10249,5.0
1001,10882,4.0
1001,13850,4.0
1001,97,4.0
1001,87,5.0
1001,123,5.0
1001,15171,5.0
